 ************************** Initing args for:  DEEP_RANGE_v0   **************************
Iters 14200 | Evals 59092 | RangeLoss 1.855153203010559 | ActionLoss 0.020593132823705673 | TotalLoss 3.9142720699310303
Iters 14400 | Evals 59945 | RangeLoss 1.8551450967788696 | ActionLoss 0.02034439891576767 | TotalLoss 3.8893673419952393
Iters 14600 | Evals 60778 | RangeLoss 1.8549827337265015 | ActionLoss 0.0200943686068058 | TotalLoss 3.8642053604125977
Iters 14800 | Evals 61609 | RangeLoss 1.8548253774642944 | ActionLoss 0.01985744759440422 | TotalLoss 3.8403544425964355
Iters 15000 | Evals 62456 | RangeLoss 1.854634404182434 | ActionLoss 0.019618097692728043 | TotalLoss 3.816227436065674
Iters 15200 | Evals 63295 | RangeLoss 1.854912519454956 | ActionLoss 0.019393879920244217 | TotalLoss 3.794069766998291
Iters 15400 | Evals 64141 | RangeLoss 1.8549365997314453 | ActionLoss 0.019175544381141663 | TotalLoss 3.772264003753662
Iters 15600 | Evals 64972 | RangeLoss 1.8547651767730713 | ActionLoss 0.01895497925579548 | TotalLoss 3.7500274181365967
Iters 15800 | Evals 65816 | RangeLoss 1.8546525239944458 | ActionLoss 0.018739111721515656 | TotalLoss 3.7283294200897217
Iters 16000 | Evals 66642 | RangeLoss 1.8548405170440674 | ActionLoss 0.01853068917989731 | TotalLoss 3.707664728164673
Iters 16200 | Evals 67477 | RangeLoss 1.8548959493637085 | ActionLoss 0.018324753269553185 | TotalLoss 3.6871225833892822
Iters 16400 | Evals 68306 | RangeLoss 1.8550843000411987 | ActionLoss 0.018124207854270935 | TotalLoss 3.667255401611328
Iters 16600 | Evals 69142 | RangeLoss 1.855190396308899 | ActionLoss 0.017921701073646545 | TotalLoss 3.6471033096313477
Iters 16800 | Evals 69971 | RangeLoss 1.8552608489990234 | ActionLoss 0.017726412042975426 | TotalLoss 3.627643346786499
Iters 17000 | Evals 70774 | RangeLoss 1.8551061153411865 | ActionLoss 0.017543742433190346 | TotalLoss 3.6092257499694824
Iters 17200 | Evals 71600 | RangeLoss 1.8549153804779053 | ActionLoss 0.01736382581293583 | TotalLoss 3.591050624847412
Iters 17400 | Evals 72418 | RangeLoss 1.8547863960266113 | ActionLoss 0.017191406339406967 | TotalLoss 3.5736734867095947
Iters 17600 | Evals 73259 | RangeLoss 1.854947805404663 | ActionLoss 0.017014121636748314 | TotalLoss 3.5560998916625977
Iters 17800 | Evals 74091 | RangeLoss 1.854964017868042 | ActionLoss 0.016844529658555984 | TotalLoss 3.5391499996185303
Iters 18000 | Evals 74934 | RangeLoss 1.8549751043319702 | ActionLoss 0.01667964458465576 | TotalLoss 3.522692918777466
Iters 18200 | Evals 75751 | RangeLoss 1.8548191785812378 | ActionLoss 0.016519004479050636 | TotalLoss 3.5064661502838135
Iters 18400 | Evals 76581 | RangeLoss 1.85469388961792 | ActionLoss 0.016359640285372734 | TotalLoss 3.4903883934020996
Iters 18600 | Evals 77407 | RangeLoss 1.8546110391616821 | ActionLoss 0.016203612089157104 | TotalLoss 3.474675178527832
Iters 18800 | Evals 78244 | RangeLoss 1.8545337915420532 | ActionLoss 0.016045764088630676 | TotalLoss 3.4587814807891846
Iters 19000 | Evals 79097 | RangeLoss 1.8545773029327393 | ActionLoss 0.01588817872107029 | TotalLoss 3.4430508613586426
Iters 19200 | Evals 79931 | RangeLoss 1.8544672727584839 | ActionLoss 0.015735678374767303 | TotalLoss 3.427703380584717
Iters 19400 | Evals 80753 | RangeLoss 1.8544293642044067 | ActionLoss 0.015593567863106728 | TotalLoss 3.413438081741333
Iters 19600 | Evals 81587 | RangeLoss 1.8546980619430542 | ActionLoss 0.015449301339685917 | TotalLoss 3.399275779724121
Iters 19800 | Evals 82427 | RangeLoss 1.854795217514038 | ActionLoss 0.015304257161915302 | TotalLoss 3.384852170944214
Iters 20000 | Evals 83272 | RangeLoss 1.85463547706604 | ActionLoss 0.015160169452428818 | TotalLoss 3.3702640533447266
Iters 20200 | Evals 84090 | RangeLoss 1.8546348810195923 | ActionLoss 0.015025818720459938 | TotalLoss 3.356814384460449
Iters 20400 | Evals 84935 | RangeLoss 1.854456901550293 | ActionLoss 0.014887664467096329 | TotalLoss 3.342818021774292
Iters 20600 | Evals 85757 | RangeLoss 1.854381799697876 | ActionLoss 0.014759743586182594 | TotalLoss 3.3299472332000732
Iters 20800 | Evals 86585 | RangeLoss 1.8546369075775146 | ActionLoss 0.014630576595664024 | TotalLoss 3.317263126373291
Iters 21000 | Evals 87436 | RangeLoss 1.854926586151123 | ActionLoss 0.014502202160656452 | TotalLoss 3.3047261238098145
Iters 21200 | Evals 88269 | RangeLoss 1.8551018238067627 | ActionLoss 0.014372369274497032 | TotalLoss 3.2919347286224365
